dataset_pk,title_dataset,doi_dataset,sharetrait_datasetid,population_pk,scientific_name,genus_name,trait_type,max(measurement.trait_value),trait_unit
TRADAT045,Burraco_etal_Oikos2021,https://doi.org/10.6084/m9.figshare.13089020.v1,Burraco_et_al_2021,TRAPOP006,"Rana arvalis Nilsson, 1842",Rana,development,99,Days
TRADAT002,"Dataset of Burraco, Valdes & Orizaola in Journal of Animal Ecology.",https://doi.org/10.6084/m9.figshare.9992201.v1,Burraco_et_al_2020,TRAPOP007,"Rana temporaria Linnaeus, 1758",Rana,development,39,Days
